	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-127-5p	-0.100634966	5.480350526	-2.427267297	0.020313202	0.046297603	-4.00075737
hsa-miR-217	-0.100863292	5.073106671	-5.931282589	8.41E-07	2.18E-05	5.62956911
hsa-miR-598	0.143608561	5.425595913	1.332406574	0.191051846	0.285940929	-5.887485194
hsa-miR-192*	-0.101036262	5.284299787	-3.157280493	0.003204651	0.010554192	-2.30835275
hsa-miR-195	0.143391886	8.561482146	0.443730587	0.659877807	0.743812055	-6.666556325
hsa-miR-1292	-0.103835449	5.054563368	-4.543799588	5.94E-05	0.000470618	1.490667492
hsv1-miR-H7	-0.104484434	5.071441669	-8.341375035	5.96E-10	8.92E-08	12.72073558
hsa-miR-654-3p	-0.142182129	7.472305141	-1.266503609	0.213419919	0.312135322	-5.97042061
hsa-miR-525-5p	-0.1419649	13.11324474	-1.059711062	0.29629421	0.407539841	-6.205404677
hsa-miR-574-3p	0.141759248	9.306990043	0.823777568	0.415459247	0.528445331	-6.425220745
hcmv-miR-US33-3p	-0.107349855	5.17998071	-4.050468697	0.000258215	0.001353367	0.076991839
hsa-miR-570	-0.107844678	5.214071006	-4.587871237	5.20E-05	0.000428915	1.619224387
ebv-miR-BART17-5p	-0.108937063	5.002755618	-7.555126905	6.00E-09	5.05E-07	10.46327877
hsa-miR-331-3p	0.140481085	9.186007924	2.014951969	0.051380892	0.099439744	-4.816060881
hcmv-miR-UL112	-0.110128841	5.374985126	-3.072587671	0.004016144	0.012669195	-2.518637072
hsa-miR-3122	-0.111469444	5.350252921	-3.362209083	0.001836349	0.006578624	-1.786615499
hsa-miR-141*	-0.138449109	5.750982116	-2.366982031	0.023398457	0.052181658	-4.126990253
hsv1-miR-H14-3p	0.138247241	5.750555058	1.588294543	0.120914913	0.195056751	-5.529973404
hsa-miR-153	-0.112282941	5.146334614	-3.17317321	0.003070836	0.01026406	-2.268532887
hsa-miR-548f	-0.112700297	5.132083919	-3.205697425	0.002813347	0.009521127	-2.186695966
hsa-let-7a*	-0.113444861	5.557753249	-2.576358332	0.014206751	0.034356361	-3.678960405
hsa-miR-3663-3p	-0.137116269	9.233150766	-0.991788527	0.327882569	0.442099921	-6.274045478
hsa-miR-1238	0.136301709	6.455177339	1.882048047	0.067886183	0.12440307	-5.053440085
hsa-miR-29b	0.135776774	11.74177459	1.126312614	0.267442943	0.377275307	-6.133962162
hsa-miR-466	-0.135775248	5.925231701	-1.187430816	0.242789346	0.346071163	-6.06483991
hsa-miR-663b	0.135709357	5.888581527	1.688520948	0.099907115	0.168218606	-5.375075897
hsv1-miR-H2	-0.114357877	5.081732611	-9.531043836	2.08E-11	9.34E-09	15.98990407
hsa-miR-939	0.135471581	12.05734275	0.910182273	0.368745843	0.484113695	-6.350811205
hsa-miR-648	0.135433863	6.403576598	1.74943226	0.088688878	0.154267579	-5.276997714
hsa-miR-2115	-0.115337546	5.153092677	-4.817531766	2.59E-05	0.000238869	2.293838459
hsa-miR-328	0.13525405	5.28263642	2.332424919	0.025352392	0.055800118	-4.19830804
hsa-miR-3935	0.134290757	6.436142294	2.146533315	0.038602331	0.079628391	-4.568438453
hsa-miR-769-3p	-0.133952469	6.239911525	-1.695645874	0.098536765	0.16681269	-5.36375584
kshv-miR-K12-9*	-0.116303657	5.114714341	-5.679355482	1.83E-06	3.42E-05	4.870551315
hsa-miR-490-3p	-0.118838406	5.475615881	-2.748151932	0.009286034	0.02467118	-3.292059743
hsa-miR-129*	-0.119874412	5.310070839	-2.935550648	0.005752709	0.017143582	-2.851763068
hsa-miR-500a*	-0.120845551	6.611754594	-2.434750899	0.019957165	0.045691517	-3.984928134
hbv-miR-B20	0.131798783	6.429747867	1.337683113	0.189341633	0.283696529	-5.880679964
hsa-miR-496	-0.122821106	5.233816955	-2.95955118	0.005404744	0.016214231	-2.794077196
hsa-miR-3146	-0.126841932	5.257605861	-4.953211224	1.71E-05	0.000177262	2.69557936
hsv2-miR-H7-5p	-0.12791334	5.077679458	-6.752009628	6.76E-08	3.37E-06	8.093318887
hsa-miR-382	-0.131269996	7.372732707	-1.0599763	0.296175158	0.407539841	-6.205128251
hsa-miR-604	-0.129717004	5.249973795	-5.870628828	1.01E-06	2.48E-05	5.446804202
hsa-miR-890	-0.130902656	5.293546517	-4.50678739	6.64E-05	0.00049734	1.382951623
hsa-miR-411	-0.130356021	7.191684962	-0.937517749	0.354704012	0.471654793	-6.325795151
hsa-let-7c	-0.130227685	9.204983669	-0.53417895	0.596482508	0.694161189	-6.622001597
hsa-miR-452	-0.130226509	7.201025201	-1.17254225	0.248636202	0.353656773	-6.081990106
hsa-miR-920	-0.131662424	5.232092017	-3.182949431	0.002991175	0.010060731	-2.243982772
hsa-miR-3941	-0.132082212	5.116158287	-7.867800087	2.38E-09	2.67E-07	11.36939129
hsa-miR-4309	-0.132626677	5.112312602	-9.170144995	5.65E-11	1.85E-08	15.01811228
hsa-miR-30e*	-0.128736579	7.252685654	-1.380399144	0.175926861	0.265071008	-5.824695444
